Transaction_Date,Stock_ Date,Invoice_ID,Age_Group_Key,Customer_Gender_Key,Region_Key,Product_Key,Quantity_Sold
2015-01-01,2014-08-30,INV-1001,1,1,1,271,4
2015-01-01,2014-10-17,INV-1002,1,1,4,273,2
2015-01-01,2014-11-28,INV-1003,4,1,6,252,2
2015-01-01,2014-08-22,INV-1004,3,2,7,244,3
2015-01-01,2014-12-09,INV-1005,4,1,9,227,2
2015-01-02,2014-10-17,INV-1006,1,2,4,247,2
2015-01-02,2014-08-01,INV-1007,1,2,9,255,4
2015-01-02,2014-12-12,INV-1008,1,1,9,269,5
2015-01-02,2014-09-30,INV-1009,3,1,10,271,2
2015-01-03,2014-09-04,INV-1010,3,2,4,229,2
2015-01-03,2014-09-21,INV-1011,1,2,4,244,5
2015-01-03,2014-12-10,INV-1012,1,1,6,273,4
2015-01-03,2014-09-18,INV-1013,1,2,9,249,3
2015-01-03,2014-12-01,INV-1014,1,1,9,268,2
2015-01-03,2014-11-07,INV-1015,1,2,9,249,2
2015-01-03,2014-10-28,INV-1016,1,1,10,229,2
2015-01-03,2014-08-22,INV-1017,3,1,10,226,5
2015-01-04,2014-11-04,INV-1018,1,1,1,271,3
2015-01-04,2014-07-11,INV-1019,1,2,1,245,2
2015-01-04,2014-07-23,INV-1020,1,2,4,314,3
2015-01-04,2014-10-03,INV-1021,3,2,7,248,3
2015-01-04,2014-10-13,INV-1022,3,1,10,226,4
2015-01-05,2014-10-12,INV-1023,1,1,4,258,2
2015-01-05,2014-10-17,INV-1024,1,1,6,315,4
2015-01-05,2014-10-13,INV-1025,3,1,8,274,2
2015-01-06,2014-08-25,INV-1026,3,1,1,249,2
2015-01-06,2014-09-20,INV-1027,1,2,4,247,2
2015-01-06,2014-10-11,INV-1028,1,2,4,250,4
2015-01-06,2014-09-18,INV-1029,3,2,6,235,4
2015-01-06,2014-11-26,INV-1030,1,1,6,249,3
2015-01-06,2014-09-18,INV-1031,4,2,6,250,2
2015-01-07,2014-11-12,INV-1032,3,1,9,263,2
2015-01-07,2014-12-09,INV-1033,4,2,9,261,2
2015-01-07,2014-10-10,INV-1034,1,2,10,269,2
2015-01-07,2014-12-13,INV-1035,3,1,10,264,3
2015-01-08,2014-10-30,INV-1036,1,1,1,277,5
2015-01-08,2014-12-29,INV-1037,3,2,1,250,4
2015-01-08,2014-12-15,INV-1038,1,1,1,244,5
2015-01-08,2014-09-02,INV-1039,3,2,4,231,2
2015-01-08,2014-08-29,INV-1040,1,2,4,247,2
2015-01-08,2014-10-29,INV-1041,3,2,9,227,2
2015-01-08,2014-11-01,INV-1042,1,1,9,257,4
2015-01-08,2014-09-03,INV-1043,3,1,9,274,2
2015-01-09,2014-12-02,INV-1044,1,2,1,244,4
2015-01-09,2014-10-16,INV-1045,3,1,4,246,4
